word	completeness_level	documents_info
a-da-ma-o	COMPLETE	[(4880, True), (4944, True), (4949, True), (5073, True)]
a-da-ma-o-jo	COMPLETE	[(4934, True)]
a-da-ra-ko	INCOMPLETE	[(1219, False)]
a-da-ra-ro	COMPLETE	[(3025, True)]
a-da-ra-te-ja	COMPLETE	[(4568, True), (4598, True)]
a-da-ra-ti-jo	COMPLETE	[(4725, True), (4738, True)]
a-da-wa-si-jo	COMPLETE	[(2780, True)]
a-da-wo-ne	INCOMPLETE	[(2701, False)]
a-de-me-we	COMPLETE	[(4956, True)]
a-de-rya	COMPLETE	[(2654, True)]
a-de-te	UNCERTAIN	[(4955, False)]
a-de-te-re	COMPLETE	[(4707, True)]
a-di-*22-sa	INCOMPLETE	[(3907, False)]
a-di-je-wo	INCOMPLETE	[(2875, False), (2882, False)]
a-di-nwa-ta	COMPLETE	[(2678, True)]
a-di-ri-ja-pi	COMPLETE	[(5347, True), (5352, True)]
a-di-ri-ja-pi-qe	COMPLETE	[(5347, True)]
a-di-ri-ja-te-qe	COMPLETE	[(5346, True)]
a-di-ri-jo	COMPLETE	[(3503, True)]
a-do-we	MOSTLY_INCOMPLETE	[(2466, False), (2467, False), (5635, True)]
a-du	INCOMPLETE	[(1826, False), (2732, False), (4253, False)]
a-du-po-to	COMPLETE	[(2779, True)]
a-du-ru-po-to	COMPLETE	[(3287, True)]
a-e	INCOMPLETE	[(953, False), (5288, False)]
a-e-da-do-ro	COMPLETE	[(297, True), (3901, True)]
a-e-ri-qe	COMPLETE	[(5073, True)]
a-e-ri-qo	COMPLETE	[(4705, True), (5062, True)]
a-e-ri-qo-ta	MOSTLY_COMPLETE	[(4705, True), (4708, True), (4726, True), (4738, False)]
a-e-se-wa	COMPLETE	[(4985, True)]
a-e-ti-to	INCOMPLETE	[(5004, False)]
a-i-qe-u	COMPLETE	[(4901, True), (4949, True)]
a-i-qe-we	COMPLETE	[(4947, True)]
a-i-qe-wo	COMPLETE	[(4934, True), (4947, True)]
a-ja	INCOMPLETE	[(1958, False)]
a-ja-me	UNCERTAIN	[(462, True), (508, False)]
a-ja-me-na	MOSTLY_COMPLETE	[(453, True), (458, True), (459, True), (460, True), (463, True), (499, True), (501, True), (503, True), (504, True), (511, True), (1308, False), (5345, True), (5352, True)]
a-ja-me-no	COMPLETE	[(451, True), (5346, True), (5347, True), (5349, True), (5352, True), (5353, True), (5355, True), (5356, True)]
a-jo	INCOMPLETE	[(1109, False)]
a-ka	MOSTLY_COMPLETE	[(124, False), (661, False), (689, False), (2901, False), (2930, True), (2931, True), (2932, True), (2933, True), (2934, True), (2935, True), (2936, True), (2986, True), (3011, True), (3036, True), (3484, True), (3720, True), (4732, True)]
a-ka-de	COMPLETE	[(2707, True)]
a-ka-i-jo	MOSTLY_COMPLETE	[(820, True), (887, True), (3217, True), (3549, True), (3901, False), (5078, True)]
a-ka-ma-jo	COMPLETE	[(4987, True)]
a-ka-ma-wo	COMPLETE	[(4750, True), (4776, True), (5062, True), (5069, True)]
a-ka-me-ne	INCOMPLETE	[(940, False)]
a-ka-mu	INCOMPLETE	[(1015, False)]
a-ka-na-jo	MOSTLY_COMPLETE	[(4758, True), (5483, False)]
a-ka-ra-no	COMPLETE	[(5353, True)]
a-ka-re-u	COMPLETE	[(4131, True)]
a-ka-re-u-te	COMPLETE	[(4747, True)]
a-ka-sa-no	COMPLETE	[(5061, True)]
a-ka-sa-no-qe	COMPLETE	[(2669, True)]
a-ka-si-jo-ne	COMPLETE	[(5059, True)]
a-ka-ta-jo	MOSTLY_INCOMPLETE	[(3550, False), (3587, False), (4940, True)]
a-ka-ta-jo-jo	COMPLETE	[(4934, True), (4940, True)]
a-ka-ta-ra-te-so-de	COMPLETE	[(4102, True)]
a-ka-to	UNCERTAIN	[(316, True), (941, False), (2305, False), (3644, True)]
a-ka-to-wa	COMPLETE	[(808, True)]
a-ka-wi-ja-de	COMPLETE	[(2782, True)]
a-ka-wo	COMPLETE	[(4161, True), (5077, True)]
a-ka-wo-ne	COMPLETE	[(5377, True)]
a-ke	MOSTLY_COMPLETE	[(990, False), (2348, False), (2374, True), (5357, True)]
a-ke-e	COMPLETE	[(4771, True)]
a-ke-e-to	COMPLETE	[(2960, True)]
a-ke-ha	COMPLETE	[(5410, True)]
a-ke-i	COMPLETE	[(4727, True)]
a-ke-o	MOSTLY_COMPLETE	[(4705, True), (4740, True), (5118, False), (5139, True)]
a-ke-o-jo	MOSTLY_COMPLETE	[(1565, False), (4748, True), (4749, True), (4754, True), (4770, True), (4771, True), (4773, True), (4774, True), (4775, True), (4776, True)]
a-ke-qe	COMPLETE	[(5357, True)]
a-ke-ra-no	COMPLETE	[(839, True)]
a-ke-ra-wo	MOSTLY_COMPLETE	[(855, True), (4770, True), (5393, False)]
a-ke-re	COMPLETE	[(4740, True), (5627, True)]
a-ke-re-mo	COMPLETE	[(624, True)]
a-ke-re-mo-no	COMPLETE	[(688, True)]
a-ke-re-se	COMPLETE	[(4737, True)]
a-ke-re-u	INCOMPLETE	[(4763, False)]
a-ke-re-u-te	COMPLETE	[(2334, True)]
a-ke-re-wa	MOSTLY_COMPLETE	[(4634, True), (4716, True), (4721, True), (4725, True), (4729, True), (4753, False), (4772, True), (4957, True), (5057, False), (5068, True), (5070, True), (5072, True), (5077, True), (5101, True)]
a-ke-re-wa-de	COMPLETE	[(5406, True)]
a-ke-re-wa-qe	COMPLETE	[(5411, True)]
a-ke-re-we	COMPLETE	[(5390, True)]
a-ke-re-wi-ja	COMPLETE	[(5398, True)]
a-ke-re-wi-jo	COMPLETE	[(2331, True), (2332, True)]
a-ke-ro	COMPLETE	[(4783, True), (4796, True), (5077, True), (5411, True)]
a-ke-rya-te	COMPLETE	[(5411, True)]
a-ke-si	INCOMPLETE	[(4732, False)]
a-ke-si-ja	COMPLETE	[(2653, True)]
a-ke-ta	COMPLETE	[(2706, True), (4776, True)]
a-ke-te	COMPLETE	[(5073, True)]
a-ke-te-re	COMPLETE	[(5073, True)]
a-ke-ti-jo	COMPLETE	[(4708, True)]
a-ke-ti-ri	INCOMPLETE	[(2351, False)]
a-ke-ti-ri-ja	COMPLETE	[(2503, True), (2597, True), (4542, True), (4557, True)]
a-ke-ti-ri-ja-i	COMPLETE	[(2328, True), (4986, True), (5377, True)]
a-ke-ti-rya	COMPLETE	[(4576, True), (4610, True), (4625, True)]
a-ke-ti-rya-o	COMPLETE	[(4639, True), (4650, True)]
a-ke-to-ro	COMPLETE	[(666, True)]
a-ke-u	MOSTLY_COMPLETE	[(661, True), (3255, True), (3559, False)]
a-ke-wa-ta	COMPLETE	[(5062, True)]
a-ke-wa-to	COMPLETE	[(4727, True)]
a-ke-wo	COMPLETE	[(2651, True)]
a-ki	INCOMPLETE	[(2712, False)]
a-ki-re-u	COMPLETE	[(811, True)]
a-ki-re-we	COMPLETE	[(4985, True)]
a-ki-ri	INCOMPLETE	[(5112, False)]
a-ki-ri-ja	COMPLETE	[(2814, True)]
a-ki-ri-jo	INCOMPLETE	[(5123, False)]
a-ki-ti-to	COMPLETE	[(5186, True), (5230, True)]
a-ki-to	COMPLETE	[(4985, True)]
a-ki-to-jo	COMPLETE	[(4984, True), (4989, True)]
a-ki-wa-ta	COMPLETE	[(2709, True)]
a-ki-wo-ni-jo	COMPLETE	[(4725, True)]
a-ko	INCOMPLETE	[(5419, False)]
a-ko-i-da	COMPLETE	[(3396, True)]
a-ko-mo-ni-jo	COMPLETE	[(3219, True), (3246, True), (3318, True)]
a-ko-ra	MOSTLY_COMPLETE	[(3313, False), (4765, True), (4774, True)]
a-ko-ra-ja	MOSTLY_COMPLETE	[(2866, True), (2867, True), (2868, True), (2870, True), (2871, False), (3902, True)]
a-ko-ra-jo	COMPLETE	[(2677, True), (2869, True)]
a-ko-ro	MOSTLY_COMPLETE	[(3389, True), (3421, True), (5021, True), (5027, True), (5037, True), (5367, True), (5375, False), (5404, True)]
a-ko-ro-da-mo	COMPLETE	[(3264, True)]
a-ko-ro-da-mo-jo	COMPLETE	[(2727, True)]
a-ko-ro-qo-ro	COMPLETE	[(2931, True)]
a-ko-ro-ta	COMPLETE	[(2336, True), (2348, True), (4483, True)]
a-ko-ro-we	UNCERTAIN	[(4759, False)]
a-ko-ro-we-e	COMPLETE	[(4759, True)]
a-ko-ro-we-i	INCOMPLETE	[(2862, False)]
a-ko-so-ne	MOSTLY_COMPLETE	[(5402, True), (5403, True), (5404, True), (5415, False)]
a-ko-so-ne-qe	COMPLETE	[(5404, True)]
a-ko-so-ta	MOSTLY_COMPLETE	[(4700, True), (4717, False), (4748, True), (4957, True), (5269, True), (5379, True), (5401, True), (5426, False)]
a-ko-so-ta-o	COMPLETE	[(4748, True), (4749, True), (4765, True), (4770, True), (4775, True), (4776, True)]
a-ko-te-u	COMPLETE	[(4773, True)]
a-ko-to	COMPLETE	[(299, True), (310, True), (1035, True)]
a-ko-to-no	COMPLETE	[(4738, True)]
a-ko-to-wo	COMPLETE	[(4749, True), (4754, True), (5062, True)]
a-ko-we-i-ja	INCOMPLETE	[(4300, False)]
a-ko-wo	COMPLETE	[(4729, True)]
a-ku-di-ri	INCOMPLETE	[(952, False)]
a-ku-di-ri-jo	COMPLETE	[(951, True), (3149, True)]
a-ku-na-i	COMPLETE	[(2833, True)]
a-ku-ri-jo	INCOMPLETE	[(2675, False)]
a-ku-ro	COMPLETE	[(5297, True)]
a-ku-tu-ru-wo	INCOMPLETE	[(3957, False)]
a-ku-wo	COMPLETE	[(587, True)]
a-ma	MOSTLY_COMPLETE	[(2005, False), (2674, False), (3876, True), (3878, True), (3880, True), (3909, True), (3910, True), (3911, True)]
a-ma-ko-to	COMPLETE	[(4093, True)]
a-ma-no	UNCERTAIN	[(2659, False), (2681, True)]
a-ma-ru-ta	COMPLETE	[(4937, True)]
a-ma-ru-ta-o	COMPLETE	[(4933, True), (4937, True)]
a-ma-ti	COMPLETE	[(2452, True)]
a-ma-to-wo	COMPLETE	[(4697, True)]
a-ma-tu-na	COMPLETE	[(4986, True)]
a-me	INCOMPLETE	[(1287, False)]
a-me-a	COMPLETE	[(148, True), (2958, True)]
a-me-ja	UNCERTAIN	[(1081, False), (3901, True)]
a-me-ja-si	COMPLETE	[(2707, True)]
a-me-ja-to	COMPLETE	[(5323, True), (5335, True)]
a-me-no	COMPLETE	[(5061, True)]
a-me-to	COMPLETE	[(5068, True)]
a-mi-ja	INCOMPLETE	[(5413, False)]
a-mi-ke-te-to	COMPLETE	[(139, True)]
a-mi-ni-si	MOSTLY_INCOMPLETE	[(279, True), (297, False), (1192, False), (1282, False), (4003, False)]
a-mi-ni-si-ja	MOSTLY_COMPLETE	[(1213, True), (2510, True), (2681, False), (3480, True), (3871, True), (4009, True), (4458, True)]
a-mi-ni-si-jo	UNCERTAIN	[(312, True), (395, False), (402, False), (403, False), (710, True), (848, True), (1248, True), (2642, True)]
a-mi-ni-so	MOSTLY_COMPLETE	[(9, True), (147, False), (663, True), (2514, True), (2569, True), (2681, True), (4088, True), (4398, True), (4410, False), (4468, True), (4514, True), (4709, True)]
a-mi-ni-so-de	MOSTLY_COMPLETE	[(1190, False), (1698, True), (4093, True), (4098, True), (4148, True), (4162, True)]
a-mi-nu-wa-ta	COMPLETE	[(4760, True)]
a-mi-nwa	INCOMPLETE	[(677, False)]
a-mi-si-ja	COMPLETE	[(4266, True)]
a-mi-to-no	COMPLETE	[(253, True)]
a-mo	UNCERTAIN	[(519, True), (1377, False)]
a-mo-i-je-to	COMPLETE	[(5399, True)]
a-mo-ra-ma	COMPLETE	[(2641, True), (2642, True)]
a-mo-si	COMPLETE	[(4733, True)]
a-mo-ta	UNCERTAIN	[(498, False), (557, True), (559, True), (560, False), (563, False), (568, True), (569, True), (574, False), (576, True), (751, False), (5317, True), (5434, True)]
a-mo-ta-jo	COMPLETE	[(5058, True)]
a-mo-te	COMPLETE	[(571, True)]
a-mo-te-jo-na-de	COMPLETE	[(5404, True)]
a-mo-te-re	UNCERTAIN	[(1218, True), (2110, False)]
a-mo-te-wi-ja	COMPLETE	[(5350, True)]
a-mo-te-wo	COMPLETE	[(4805, True), (4828, True)]
a-mu	INCOMPLETE	[(2006, False)]
a-mu-ta-wo	UNCERTAIN	[(728, False), (5260, True)]
a-mu-ta-wo-no	COMPLETE	[(5062, True)]
a-mu-ta-wo-qe	INCOMPLETE	[(685, False)]
a-na-*82	COMPLETE	[(2328, True)]
a-na-i-ta	UNCERTAIN	[(497, True), (510, False)]
a-na-ka	COMPLETE	[(6, True)]
a-na-ka-te	COMPLETE	[(5377, True)]
a-na-ke-e	COMPLETE	[(4738, True)]
a-na-ki-ti	COMPLETE	[(3612, True)]
a-na-mo-ta	UNCERTAIN	[(506, True), (511, False)]
a-na-mo-to	MOSTLY_COMPLETE	[(498, True), (499, True), (500, True), (504, True), (509, False)]
a-na-pe-we	INCOMPLETE	[(1023, False)]
a-na-pu-ke	COMPLETE	[(5369, True)]
a-na-qo-ta	COMPLETE	[(2706, True)]
a-na-re-u	COMPLETE	[(235, True)]
a-na-ta	COMPLETE	[(498, True)]
a-na-te-u	COMPLETE	[(5061, True)]
a-na-to	COMPLETE	[(500, True), (502, True), (517, True), (520, True)]
a-ne	INCOMPLETE	[(1061, False)]
a-ne-ha	COMPLETE	[(2328, True), (2382, True)]
a-ne-mo	COMPLETE	[(4088, True)]
a-ne-mo-i-je-re-ja	COMPLETE	[(4092, True)]
a-ne-o	COMPLETE	[(4961, True), (4965, True), (4967, True)]
a-ne-ra-to	COMPLETE	[(3937, True)]
a-ne-ta-de	COMPLETE	[(5109, True)]
a-ne-te-wa	COMPLETE	[(831, True)]
a-ne-u-da	COMPLETE	[(844, True)]
a-ne-u-te	COMPLETE	[(4748, True)]
a-ni-ja	COMPLETE	[(452, True), (463, True), (464, True), (5369, True)]
a-ni-ja-e-e-ro-pa-jo-qe-ro-sa	COMPLETE	[(5369, True)]
a-ni-ja-pi	COMPLETE	[(451, True), (455, True), (458, True), (461, True), (465, True)]
a-ni-ja-to	COMPLETE	[(3288, True)]
a-ni-o-ko	COMPLETE	[(661, True)]
a-no	UNCERTAIN	[(4754, True), (5296, False)]
a-no-ke-wa	COMPLETE	[(4705, True)]
a-no-ke-we	COMPLETE	[(3086, True), (4705, True)]
a-no-me-de	COMPLETE	[(5069, True)]
a-no-no	COMPLETE	[(4822, True), (4881, True), (4949, True)]
a-no-po	COMPLETE	[(4750, True), (5401, True)]
a-no-qa-si-ja	COMPLETE	[(4825, True)]
a-no-qo	INCOMPLETE	[(2980, False)]
a-no-qo-ta	MOSTLY_COMPLETE	[(822, True), (1239, False), (2555, False), (2650, True), (2898, True), (2972, True), (3525, True)]
a-no-qo-ta-o	COMPLETE	[(3521, True), (3875, True)]
a-no-ra-ta	COMPLETE	[(4714, True), (5073, True)]
a-no-ta	COMPLETE	[(5071, True)]
a-no-we	COMPLETE	[(5344, True)]
a-no-wo-to	COMPLETE	[(4239, True)]
a-no-ze-we	COMPLETE	[(4771, True)]
a-no-zo-jo	COMPLETE	[(2564, True)]
a-nu	INCOMPLETE	[(598, False), (696, False), (4006, False)]
a-nu-ko	MOSTLY_COMPLETE	[(74, True), (2828, True), (3113, True), (3140, True), (3372, False)]
a-nu-mo	COMPLETE	[(680, True), (3018, True), (3239, True)]
a-nu-to	COMPLETE	[(1204, True), (2451, True), (2677, True), (5652, True), (5653, True), (5654, True), (5678, True)]
a-nu-to-jo	COMPLETE	[(1206, True)]
a-nu-wa	COMPLETE	[(4707, True)]
a-nu-wa-to	COMPLETE	[(2654, True)]
a-nu-wi-ko	COMPLETE	[(795, True), (2677, True)]
a-o-ri-jo	COMPLETE	[(4727, True)]
a-o-ri-me-ne	COMPLETE	[(5278, True)]
a-o-ze-jo	COMPLETE	[(5219, True)]
a-pa	INCOMPLETE	[(1398, False)]
a-pa-i-ti-jo	COMPLETE	[(4277, True)]
a-pa-je-u	COMPLETE	[(5074, True)]
a-pa-ni-jo	INCOMPLETE	[(3638, False)]
a-pa-re-u-pi	COMPLETE	[(4756, True), (4773, True), (4776, True)]
a-pa-ri-ka-na-we-ja	COMPLETE	[(5168, True)]
a-pa-sa	INCOMPLETE	[(5076, False)]
a-pa-sa-ki-jo	COMPLETE	[(4480, True)]
a-pa-si-jo-jo	COMPLETE	[(5312, True)]
a-pa-ta	COMPLETE	[(5212, True)]
a-pa-ta-wa	MOSTLY_COMPLETE	[(2776, True), (2834, False), (2870, True)]
a-pa-ta-wa-ja	COMPLETE	[(719, True)]
a-pa-ta-wa-jo	COMPLETE	[(2645, True)]
a-pa-te	INCOMPLETE	[(999, False)]
a-pa-to	INCOMPLETE	[(4211, False)]
a-pa-to-re	INCOMPLETE	[(4058, False)]
a-pa-u-ro	COMPLETE	[(4487, True)]
a-pe-a-sa	UNCERTAIN	[(2555, False), (2650, True)]
a-pe-do-ke	COMPLETE	[(5001, True)]
a-pe-e-ke	MOSTLY_COMPLETE	[(4729, False)]
a-pe-e-si	INCOMPLETE	[(4722, False)]
a-pe-i-ja	COMPLETE	[(5372, True)]
a-pe-i-si	COMPLETE	[(135, True)]
a-pe-ke-e	COMPLETE	[(5062, True)]
a-pe-ke-i-jo	COMPLETE	[(5062, True)]
a-pe-ne-wo	COMPLETE	[(5369, True)]
a-pe-o	UNCERTAIN	[(664, False), (4696, True)]
a-pe-o-te	COMPLETE	[(2724, True), (2755, True), (4729, True)]
a-pe-re	COMPLETE	[(584, True)]
a-pe-ri-ta-wo	COMPLETE	[(4726, True)]
a-pe-te-me-ne	COMPLETE	[(5348, True)]
a-pe-te-u	COMPLETE	[(5067, True), (5070, True)]
a-pe-ti-rya	COMPLETE	[(671, True)]
a-pe-we-de	COMPLETE	[(2392, True)]
a-phu-de	COMPLETE	[(5406, True)]
a-phu-ja	COMPLETE	[(5077, True)]
a-phu-ka	MOSTLY_COMPLETE	[(729, True), (1009, False), (4725, True)]
a-phu-ka-ne	COMPLETE	[(4725, True), (4726, True)]
a-phu-we	COMPLETE	[(4716, True), (4772, True), (5068, True), (5072, True), (5096, True), (5276, True)]
a-pi	UNCERTAIN	[(873, False), (1264, False), (4123, True), (5354, True)]
a-pi-da-ta	COMPLETE	[(824, True)]
a-pi-do-ra	COMPLETE	[(2348, True), (2356, True)]
a-pi-do-ro	INCOMPLETE	[(961, False)]
a-pi-e-ke	COMPLETE	[(5373, True)]
a-pi-e-ra	COMPLETE	[(2338, True), (4732, True), (4984, True)]
a-pi-ha-ro	MOSTLY_COMPLETE	[(4705, True), (4794, True), (4799, False), (4844, True), (5264, True), (5279, True)]
a-pi-ja-ko-ro-jo	INCOMPLETE	[(2719, False)]
a-pi-ja-re	UNCERTAIN	[(944, True), (1364, False)]
a-pi-je	INCOMPLETE	[(2364, False)]
a-pi-je-ta	UNCERTAIN	[(3642, False), (4726, True)]
a-pi-jo	COMPLETE	[(5070, True)]
a-pi-jo-to	COMPLETE	[(4710, True)]
a-pi-ka-ra-do-jo	COMPLETE	[(5267, True)]
a-pi-ke-ne-a	INCOMPLETE	[(5245, False)]
a-pi-me-de	COMPLETE	[(2709, True), (4868, True), (4950, True)]
a-pi-me-de-o	MOSTLY_COMPLETE	[(2779, True), (4774, True), (4918, True), (4919, True), (4920, True), (4950, True)]
a-pi-no-e-wi-jo	MOSTLY_COMPLETE	[(4699, True), (4707, True), (4723, True), (5065, False), (5124, True), (5156, False), (5259, True), (5410, True)]
a-pi-o-to	COMPLETE	[(4710, True), (5384, True)]
a-pi-po-re-we	COMPLETE	[(610, True)]
a-pi-qo-i-ta	COMPLETE	[(2509, True)]
a-pi-qo-o	COMPLETE	[(5384, True)]
a-pi-qo-ro	COMPLETE	[(4574, True), (4669, True)]
a-pi-qo-ro-i	COMPLETE	[(5010, True)]
a-pi-qo-ta	COMPLETE	[(2783, True), (2786, True), (5062, True)]
a-pi-qo-ta-o	MOSTLY_COMPLETE	[(4710, True)]
a-pi-qo-to	COMPLETE	[(5345, True), (5348, True), (5351, True), (5353, True)]
a-pi-ra-wo	COMPLETE	[(2677, True)]
a-pi-re-jo	COMPLETE	[(835, True)]
a-pi-re-we	COMPLETE	[(672, True)]
a-pi-te	INCOMPLETE	[(595, False)]
a-pi-te-ja	COMPLETE	[(4986, True)]
a-pi-te-wa	UNCERTAIN	[(4718, True), (5237, False)]
a-pi-wa-to	COMPLETE	[(2677, True)]
a-po-ne-we	COMPLETE	[(4694, True), (4721, True)]
a-po-re-we	UNCERTAIN	[(2374, True), (5358, False)]
a-po-te	COMPLETE	[(132, True)]
a-po-te-ro-te	COMPLETE	[(5399, True)]
a-pu	COMPLETE	[(4123, True), (5344, True)]
a-pu-da-se-we	COMPLETE	[(4221, True)]
a-pu-do	INCOMPLETE	[(1198, False), (3967, False), (4005, False)]
a-pu-do-ke	COMPLETE	[(137, True)]
a-pu-do-si	MOSTLY_COMPLETE	[(1189, False), (1210, True), (1312, False), (2041, False), (2395, True), (2758, True), (2760, True), (2761, True), (2762, False), (2763, True), (2764, True), (2768, True), (2770, True), (3935, True), (3944, True), (3959, True), (3972, True), (3999, True), (4009, True), (4016, True), (4136, True), (4139, True), (4140, True), (4142, True), (4146, True), (4150, True), (4151, True), (4165, True), (4166, True), (4312, False), (4459, True), (4461, False), (5095, True), (5101, True), (5106, True), (5109, False), (5459, True)]
a-pu-do-so-mo	COMPLETE	[(9, True)]
a-pu-ka	COMPLETE	[(4738, True)]
a-pu-ke	COMPLETE	[(5369, True)]
a-pu-ki	INCOMPLETE	[(1827, False)]
a-pu-ki-si	INCOMPLETE	[(5565, False)]
a-pu-ko	INCOMPLETE	[(5711, False)]
a-pu-ko-wo-ko	COMPLETE	[(4590, True), (4655, True)]
a-pu-ne-we	COMPLETE	[(4664, True)]
a-qa-ro	INCOMPLETE	[(293, False)]
a-qa-to	COMPLETE	[(2677, True)]
a-qe-mo	COMPLETE	[(3063, True)]
a-qi	INCOMPLETE	[(2339, False)]
a-qi-ja-i	COMPLETE	[(4733, True)]
a-qi-ra	UNCERTAIN	[(965, True), (985, False)]
a-qi-ro	COMPLETE	[(2942, True)]
a-qi-ru	COMPLETE	[(2828, True)]
a-qi-ta	INCOMPLETE	[(718, False)]
a-qi-ti-ta	INCOMPLETE	[(2338, False), (2654, False)]
a-qi-zo-we	COMPLETE	[(4737, True)]
a-qo-ta	COMPLETE	[(4277, True)]
a-ra	INCOMPLETE	[(733, False)]
a-ra-da-jo	COMPLETE	[(2677, True)]
a-ra-i-jo	COMPLETE	[(4710, True)]
a-ra-ka-jo	COMPLETE	[(2714, True)]
a-ra-ka-te-ja	MOSTLY_COMPLETE	[(2581, True), (4385, False), (4543, True), (4549, True)]
a-ra-ka-te-ja-o	COMPLETE	[(4659, True)]
